item_name,thumb,url_name,id,avg_price
Exodia Valor,items/images/en/thumbs/exodia_valor.6944e42105fc09e60c8a843acedfd7cf.128x128.png,exodia_valor,5a0475086c4655012038ddc0,
Exodia Force,items/images/en/thumbs/exodia_force.3777cf3132503f972624ac56c1731743.128x128.png,exodia_force,5a04750b6c4655012038ddc9,
Exodia Brave,items/images/en/thumbs/exodia_brave.46667ed53d81bf2cc9aacde46019c7e9.128x128.png,exodia_brave,5a0475086c4655012038ddc1,
Exodia Hunt,items/images/en/thumbs/exodia_hunt.991da5e49a00e69755b5c7948f5448f6.128x128.png,exodia_hunt,5a0475096c4655012038ddc2,
Exodia Triumph,items/images/en/thumbs/exodia_triumph.fe6f1256127be984a80deb48afd26faa.128x128.png,exodia_triumph,5a0475096c4655012038ddc3,
Exodia Contagion,items/images/en/thumbs/exodia_contagion.f1cb19151ee32fa1ee23a778cba612a2.128x128.png,exodia_contagion,5a26c31dc2c9e903a8381330,
Exodia Epidemic,items/images/en/thumbs/exodia_epidemic.3807403ba71019a6186468b251bc1d3a.128x128.png,exodia_epidemic,5a26c320c2c9e903a8381331,
Exodia Might,items/images/en/thumbs/exodia_might.255cbe521efd3aa7312e90e523b3c9ed.128x128.png,exodia_might,5a04750d6c4655012038ddcd,
